old_path,proposed_new_path,item_type,lambda,run_id_or_description,action,reason
perfect_blocking_upsampling/scripts/run_lam0p2_flow_detail_rethermalization.py,perfect_blocking_upsampling/scripts/run_flow_detail_coarse_detail.py,legacy_runner,0.2,successful lam0p2 flow/detail/coarse-detail implementation,retain_as_legacy_hook,new parameterized launcher will preserve this implementation path
perfect_blocking_upsampling/scripts/extend_lam0p2_flow_detail_rethermalization.py,perfect_blocking_upsampling/scripts/extend_flow_detail.py,legacy_extend_runner,0.2,successful lam0p2 extension implementation,retain_as_legacy_hook,new parameterized extender will preserve restart/extend semantics
perfect_blocking_upsampling/outputs/controlled_patch_lam0p2,perfect_blocking_upsampling/runs/lam0p2/<future_classified_run_id>,legacy_run_archive,0.2,old successful controlled patch and flow/detail outputs,document_legacy_in_place,large historical output tree; keep stable until individual runs are classified
perfect_blocking_upsampling/outputs/lam0p5_5x5_patch_detail_8to16,perfect_blocking_upsampling/runs/lam0p5/<future_classified_run_id>,legacy_run_archive,0.5,old lambda=0.5 patch/detail experiment outputs,document_legacy_in_place,needs run-level classification before moving
perfect_blocking_upsampling/outputs/lam0p022_L16to32_flow_footprint_scan,perfect_blocking_upsampling/runs/lam0p022/<future_classified_run_id>,legacy_run_archive,0.022,old lambda=0.022 flow footprint scan,document_legacy_in_place,needs run-level classification before moving
perfect_blocking_upsampling/data/coarse_L8/configs.npz,data/configs_phi4_2d/<verified_source>/configs.npz,legacy_raw_config_snapshot,unknown,raw coarse L8 snapshot stored in old upsampling tree,quarantine_policy_documented,new policy forbids raw configs in upsampling; not moved until provenance is verified
perfect_blocking_upsampling/data/fine_L16_reference/configs.npz,data/configs_phi4_2d/<verified_source>/configs.npz,legacy_raw_config_snapshot,unknown,raw fine L16 snapshot stored in old upsampling tree,quarantine_policy_documented,new policy forbids raw configs in upsampling; not moved until provenance is verified
perfect_blocking_upsampling/checkpoints/frozen,perfect_blocking_upsampling/runs/<lambda>/<run_id>/checkpoints,legacy_checkpoint_archive,unknown,old frozen checkpoints,document_legacy_in_place,checkpoint provenance needs classification before moving
perfect_blocking_upsampling/configs/repro/lam0p2_rand5x5_0084_repro.yaml,perfect_blocking_upsampling/run_configs/templates/lam0p2_L16to32_flow_detail.yaml,legacy_repro_config,0.2,rand5x5_0084 reproduction config,retain_and_reference,used as template source for modern run config
perfect_blocking_upsampling/configs/default_lam0p022_k02705.yaml,perfect_blocking_upsampling/run_configs/templates/lam0p022_L8to16_flow_detail.yaml,legacy_repro_config,0.022,lambda=0.022 default config,retain_and_reference,used as lambda-specific run README reference
perfect_blocking_upsampling/src/perfect_blocking_upsampling,perfect_blocking_upsampling/src/perfect_blocking_upsampling,shared_package,all,existing reusable physics/utilities package,retain,new scripts should import shared package instead of duplicating logic
perfect_blocking_upsampling/scripts/submit_flow_detail_coarse_detail,perfect_blocking_upsampling/scripts/submit_flow_detail_coarse_detail,entrypoint_wrapper,all,stable submit wrapper requested by workflow,create,exact compatibility entrypoint did not exist as a top-level script
perfect_blocking_upsampling/scripts/submit_extend_flow_detail,perfect_blocking_upsampling/scripts/submit_extend_flow_detail,entrypoint_wrapper,all,stable extend wrapper requested by workflow,create,exact compatibility entrypoint did not exist as a top-level script
